,canton,search_wohnung,date
650,Obwalden,100.0,2017-08-22
651,Nidwalden,78.0,2017-08-22
652,Appenzell Ausserrhoden,72.0,2017-08-22
653,Sankt Gallen,50.0,2017-08-22
654,Thurgau,48.0,2017-08-22
655,Schaffhausen,44.0,2017-08-22
656,Solothurn,39.0,2017-08-22
657,Zug,38.0,2017-08-22
658,Luzern,38.0,2017-08-22
659,Aargau,35.0,2017-08-22
660,Zürich,32.0,2017-08-22
661,Basel-Landschaft,29.0,2017-08-22
662,Graubünden,24.0,2017-08-22
663,Bern,22.0,2017-08-22
664,Schwyz,21.0,2017-08-22
665,Tessin,16.0,2017-08-22
666,Neuenburg,15.0,2017-08-22
667,Basel-Stadt,11.0,2017-08-22
668,Freiburg,10.0,2017-08-22
669,Genf,5.0,2017-08-22
670,Waadt,3.0,2017-08-22
671,Appenzell Innerrhoden,,2017-08-22
672,Glarus,,2017-08-22
673,Jura,,2017-08-22
674,Uri,,2017-08-22
675,Wallis,,2017-08-22
676,Glarus,100.0,2018-01-21
677,Obwalden,65.0,2018-01-21
678,Uri,52.0,2018-01-21
679,Schaffhausen,43.0,2018-01-21
680,Schwyz,43.0,2018-01-21
681,Appenzell Ausserrhoden,41.0,2018-01-21
682,Solothurn,37.0,2018-01-21
683,Nidwalden,32.0,2018-01-21
684,Aargau,30.0,2018-01-21
685,Graubünden,22.0,2018-01-21
686,Sankt Gallen,20.0,2018-01-21
687,Zug,19.0,2018-01-21
688,Luzern,19.0,2018-01-21
689,Bern,18.0,2018-01-21
690,Thurgau,17.0,2018-01-21
691,Basel-Landschaft,17.0,2018-01-21
692,Zürich,15.0,2018-01-21
693,Basel-Stadt,12.0,2018-01-21
694,Wallis,3.0,2018-01-21
695,Waadt,3.0,2018-01-21
696,Appenzell Innerrhoden,,2018-01-21
697,Freiburg,,2018-01-21
698,Genf,,2018-01-21
699,Jura,,2018-01-21
700,Neuenburg,,2018-01-21
701,Tessin,,2018-01-21
702,Glarus,100.0,2017-11-12
703,Obwalden,97.0,2017-11-12
704,Sankt Gallen,75.0,2017-11-12
705,Appenzell Ausserrhoden,69.0,2017-11-12
706,Schaffhausen,50.0,2017-11-12
707,Luzern,41.0,2017-11-12
708,Zürich,37.0,2017-11-12
709,Solothurn,34.0,2017-11-12
710,Graubünden,33.0,2017-11-12
711,Aargau,31.0,2017-11-12
712,Bern,27.0,2017-11-12
713,Basel-Stadt,26.0,2017-11-12
714,Basel-Landschaft,25.0,2017-11-12
715,Schwyz,23.0,2017-11-12
716,Zug,23.0,2017-11-12
717,Thurgau,21.0,2017-11-12
718,Wallis,11.0,2017-11-12
719,Tessin,9.0,2017-11-12
720,Waadt,5.0,2017-11-12
721,Genf,4.0,2017-11-12
722,Appenzell Innerrhoden,,2017-11-12
723,Freiburg,,2017-11-12
724,Jura,,2017-11-12
725,Neuenburg,,2017-11-12
726,Nidwalden,,2017-11-12
727,Uri,,2017-11-12
728,Appenzell Innerrhoden,100.0,2017-03-01
729,Nidwalden,22.0,2017-03-01
730,Aargau,17.0,2017-03-01
731,Graubünden,16.0,2017-03-01
732,Luzern,15.0,2017-03-01
733,Schwyz,14.0,2017-03-01
734,Solothurn,13.0,2017-03-01
735,Basel-Landschaft,12.0,2017-03-01
736,Thurgau,11.0,2017-03-01
737,Bern,10.0,2017-03-01
738,Freiburg,9.0,2017-03-01
739,Zürich,7.0,2017-03-01
740,Zug,7.0,2017-03-01
741,Sankt Gallen,6.0,2017-03-01
742,Basel-Stadt,5.0,2017-03-01
743,Tessin,2.0,2017-03-01
744,Genf,2.0,2017-03-01
